Item No.,Description,Drawing/Ref. No.,Manufacturers Real Part No.,Material,MESC No.,Classification of parts,Commissioning spares,Operational spare parts,Quantity to be supplied,Unit,Approximate unit price,Approximate total price,Remarks
1,Impeller,SJEC-DGNRCU-ENMA-DWEQ-0009,21-230-993.01,ASTM A48 Class 25B,,,5,,5,Pcs,,,
2,Shaft,SJEC-DGNRCU-ENMA-DWEQ-0009,21-210-927.08,ASTM A576 Gr 1045,,,1,,1,Pcs,,,
4,Shaft Sleeve,SJEC-DGNRCU-ENMA-DWEQ-0009,21-220-225.04,A276 Type 420,,,1,,1,Pcs,,,
6,Shaft Sleeve,SJEC-DGNRCU-ENMA-DWEQ-0009,21-220-227.06,A276 Type 420,,,1,,1,Pcs,,,
8,Shaft Sleeve,SJEC-DGNRCU-ENMA-DWEQ-0009,21-220-227.07,A276 Type 420,,,1,,1,Pcs,,,
10,Angular contact ball bearings-Duble row,SJEC-DGNRCU-ENMA-DWEQ-0009,22-323-312.01,STD,,,1,,1,Pcs,,,
12,Cylindrical roller bearing,SJEC-DGNRCU-ENMA-DWEQ-0009,22-325-312.00,STD,,,1,,1,Pcs,,,
14,Impeller Wearings,SJEC-DGNRCU-ENMA-DWEQ-0009,21-502-331.02,ASTM A48 Class 25B,,,5,,5,Pcs,,,
16,Casing Wearings,SJEC-DGNRCU-ENMA-DWEQ-0009,21-502-404.01,ASTM A48 Class 25B,,,5,,5,Pcs,,,
18,Spiral Wound Gasket,SJEC-DGNRCU-ENMA-DWEQ-0009,22-416-131.01,SS 316,,,1,,1,Pcs,,,
20,Mechanical Seal Component,-,22-433-070.01,STD,,,1,,1,Pcs,,,
22,Mechanical Seal Assembly,-,21-433-760.08,Multi Material,,,1,,1,Pcs,,,
