Item No.,Description,Drawing/Ref. No.,Manufacturers Real Part No.,Material,MESC No.,Classification of parts,Commissioning spares,Operational spare parts,Quantity to be supplied,Unit,Approximate unit price,Approximate total price,Remarks
1,Impeller,SJEC-DGNRCU-ENMA-DWEQ-0006,21-230-146.01,C95800,,,1,,2,Pcs,,,
2,Shaft,SJEC-DGNRCU-ENMA-DWEQ-0006,21-210-002.01,A576 Gr 1045,,,1,,2,Pcs,,,
3,Deep groove ball bearing,SJEC-DGNRCU-ENMA-DWEQ-0006,21-320-308.00,A276 Type 420,,,3,,6,Pcs,,,
5,Shaft Sleeve,-,21-220-702.01,STD,,,1,,2,Pcs,,,
6,Impeller Wearings,SJEC-DGNRCU-ENMA-DWEQ-0006,21-502-348.01,C95800,,,1,,2,Pcs,,,
7,Casing Wearings,SJEC-DGNRCU-ENMA-DWEQ-0006,21-502-421.01,C95800,,,1,,2,Pcs,,,
8,Paper Gasket,SJEC-DGNRCU-ENMA-DWEQ-0006,22-400-618.01,Fiber,,,1,,2,Pcs,,,
9,Paper Gasket,SJEC-DGNRCU-ENMA-DWEQ-0006,22-400-616.01,Fiber,,,1,,2,Pcs,,,
16,Mechanical Seal Component,-,22-433-043.01,STD,,,1,,2,Pcs,,,
18,Mechanical Seal Assembly,-,21-433-753.02,Multi Material,,,1,,2,Pcs,,,
19,"Bearings of Motors,D side",SJEC-DGNRCU-ENMA-DSEQ-0002,22-320-208.00,STD,,,1,,2,Pcs,,,
20,"Bearings of Motors,N side",SJEC-DGNRCU-ENMA-DSEQ-0002,22-320-306.00,STD,,,1,,2,Pcs,,,
21,Fan for Motor,-,-,-,,,1,,2,Pcs,,,
22,Oil Seal Ring for Motors,-,-,-,,,1,,2,Pcs,,,
