Item No.,Description,Drawing/Ref. No.,Manufacturers Real Part No.,Material,MESC No.,Classification of parts,Commissioning spares,Operational spare parts,Quantity to be supplied,Unit,Remarks
1,Impeller,SJEC-DGNRCU-ENMA-DWEQ-0010,21-230-126.01,C95800,,,1,1,2,Pcs,
2,Impeller Wearing,SJEC-DGNRCU-ENMA-DWEQ-0010,21-502-222.02,C95800,,,,3,3,Pcs,
3,Shaft,SJEC-DGNRCU-ENMA-DWEQ-0010,21-210-002.01,A576 Gr 1045,,,1,,1,Pcs,
4,Shaft Sleeve,-,21-220-702.01,A276 Type 420,,,1,,1,Pcs,
5,Deep groove ball bearing,SJEC-DGNRCU-ENMA-DWEQ-0010,21-320-308.00,STD,,,3,,3,Pcs,
6,Casing Wearing,SJEC-DGNRCU-ENMA-DWEQ-0010,21-502-288.02,C95800,,,1,,1,Pcs,
7,Paper Gasket,SJEC-DGNRCU-ENMA-DWEQ-0010,21-400-019.01,Fiber,,,1,,1,Pcs,
8,Paper Gasket,SJEC-DGNRCU-ENMA-DWEQ-0010,21-400-018.01,Fiber,,,1,,1,Pcs,
9,Mechanical Seal Component,-,22-433-043.01,Multi Material,,,1,,1,Pcs,
10,Mechanical Seal Assembly,-,21-433-753.02,STD,,,1,,1,Pcs,
11,"Bearings of Motors,D side",SJEC-DGNRCU-ENMA-DSEQ-0002,22-320-310.00,STD,,,1,,1,Pcs,
12,"Bearings of Motors,N side",SJEC-DGNRCU-ENMA-DSEQ-0002,22-320-309.00,STD,,,1,,1,Pcs,
13,Fan for Motor,-,-,-,,,1,,1,Pcs,
14,Oil Seal Ring for Motors,-,-,-,,,1,,1,Pcs,
