Item_No,Equipment_Class,Equipment_Req,Manufacturers_Model,Manufacturers_Serial_No,Equipment_Purchase_Order_No,No_or_TAG_No,Total_Identical_Parts,Drawing_Ref_No,Real_Part_No,Material,Unit,Number_of_Parts_Per_Unit,Classification_of_Parts,Recommended_by_Manufacturer,Recommended_by_Contractor,Commissioning_Spares,Operational_Spare_Parts,Quantity_to_be_Supplied,Unit_Price,Total_Price,Description,Remarks
1,Positive Choke Valve,,,,,,6,BJ8071-1~6,,AISI 410,,,,,,,2,2,,,Needle,"Choke -7-1/16'',#3000"
2,Adj. Choke Valve,,,,,,13,BJ8071-7~19,,AISI 410,,,,,,,5,5,,,Needle,"Choke -7-1/16'',#10000"
3,Adj. Choke Valve,,,,,,6,BJ8071-20~25,,AISI 410,,,,,,,2,2,,,Stem,"Choke -7-1/16'',#3000"
4,Adj. Choke Valve,,,,,,13,BJ8071-26~38Rev0,,AISI 410,,,,,,,4,4,,,Stem,"Choke -7-1/16'',#10000"
5,Adj. Choke Valve,,,,,,3/4/5,BJ8071-1~19 Choke Valve,,HNBR/Teflon,,,,,,,6,6,,,Seal Kit,
6,Adj. Choke Valve,,,,,,3/4,BJ8071-20~25,,HNBR/Teflon,,,,,,,2,2,,,Seal Kit,"Choke -7-1/16'',#3000"
7,Adj. Choke Valve,,,,,,3/4/5,BJ8071-26~38Rev0,,HNBR/Teflon,,,,,,,4,4,,,Seal Kit,"Choke -7-1/16'',#10000"
8,Positive Choke Valve,,,,,,6,BJ8071-1~6,,SS316,,,,,,,2,2,,,Bonnet Gasket,"Choke -7-1/16'',#3000"
9,,,,,,,13,BJ8071-7~19,,SS316,,,,,,,5,5,,,Bonnet Gasket,"Choke -7-1/16'',#10000"
10,Adj. Choke Valve,,,,,,6,BJ8071-20~25,,SS316,,,,,,,2,2,,,Bonnet Gasket,"Choke -7-1/16'',#3000"
11,,,,,,,13,BJ8071-26~38Rev0,,SS316,,,,,,,4,4,,,Bonnet Gasket,"Choke -7-1/16'',#10000"
12,Positive Choke Valve,,,,,,6,BJ8071-1~6,,AISI 410 + SOLID TC,,,,,,,2,2,,,"Bean, 8/64""","Choke -7-1/16'',#3000"
13,Adj. Choke Valve,,,,,,18,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,,2/6,2/6,,,"Bean, 16/64""","Choke -7-1/16'',#3000"
14,Adj. Choke Valve,,,,,,18,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,,2/6,2/6,,,"Bean, 24/64""","Choke -7-1/16'',#10000"
15,Adj. Choke Valve,,,,,,18,BJ8071-7~19,,AISI 410 + SOLID TC,,,,,,,5,5,,,"Bean, 28/64""","Choke -7-1/16'',#10000"
16,Adj. Choke Valve,,,,,,18,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,,2/6,2/6,,,"Bean, 32/64""","Choke -7-1/16'',#3000"
17,Adj. Choke Valve,,,,,,18,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,,2/6,2/6,,,"Bean, 36/64""","Choke -7-1/16'',#10000"
18,Adj. Choke Valve,,,,,,18,BJ8071-7~19,,AISI 410 + SOLID TC,,,,,,,5,5,,,"Bean, 40/64""","Choke -7-1/16'',#10000"
19,Adj. Choke Valve,,,,,,18,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,,2/6,2/6,,,"Bean, 44/64""","Choke -7-1/16'',#3000"
20,Adj. Choke Valve,,,,,,18,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,,2/6,2/6,,,"Bean, 48/64""","Choke -7-1/16'',#10000"
21,Adj. Choke Valve,,,,,,18,BJ8071-7~19,,AISI 410 + SOLID TC,,,,,,,5,5,,,"Bean, 56/64""","Choke -7-1/16'',#10000"
22,Adj. Choke Valve,,,,,,18,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,,2/6,2/6,,,"Bean, 64/64""","Choke -7-1/16'',#3000"
23,Adj. Choke Valve,,,,,,18,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,,2/6,2/6,,,"Bean, 72/64""","Choke -7-1/16'',#10000"
24,Positive Choke Valve,,,,,,6,BJ8071-1~6,,AISI 410 + SOLID TC,,,,,,,2,2,,,"Bean, 96/64""","Choke -7-1/16'',#3000"
25,Positive Choke Valve,,,,,,6,BJ8071-1~6,,AISI 410 + SOLID TC,,,,,,,2,2,,,"Bean, 116/64""","Choke -7-1/16'',#3000"
26,Adj. Choke Valve,,,,,,6,BJ8071-20~25,,AISI 410 + SOLID TC,,,,,,,2,2,,,Seat,"Choke -7-1/16'',#3000"
27,Adj. Choke Valve,,,,,,13,BJ8071-26~38Rev0,,AISI 410 + SOLID TC,,,,,,,4,4,,,Seat,"Choke -7-1/16'',#10000"
