Page,Item,Description,QTY,Brand,Type,Reference,Voltage,Power,IP_Rating,Mounting,Material_Enclosure,Material_Diffuser,Luminous_Flux,Color_Temperature,CRI,Made_In,Emergency_Duration,Special_Feature,Application,Material_Body,Material_Housing,Material_Globe,Lamp_Holder,Cable_Entry,Material_Reflector,Material_Glass,Lamp_Type,Ballast,Driver,Cable_Gland,Frequency,Current,Ex_Classification,Zone,Configuration
3,1,"Weather Proof lighting fixture
• Indoor type
• 230 V, 50 Hz
• Surface mounted
• IP 55
• Enclosure made of Extruded Aluminum
• Diffuser made of Acrylics sheet
• End caps made of plastic
• 2xM20 Gland terminal suitable for 3x2.5 mm2 cable - Through wiring
• LED driver
• LED module - 48W LED SMD

JAHAN NOOR brand
DALAHOO Type
Ref. DLH-48-LED-S",44 (10%),JAHAN NOOR,DALAHOO,DLH-48-LED-S,"230 V, 50 Hz",48W,IP 55,Surface mounted,Extruded Aluminum,Acrylics sheet,,,,,,,,,,,,,,,,,,,,,,,
3,2,"42 Watt LED lighting fixture
• 230V AC. 50 Hz
• Flush mounted – 600x600 mm
• Housing made of powder coated Aluminum
• PMMA Diffuser
• LED driver (Made by JAHANNOOR Co)
• 40 W LED module
• 3800 Lm (Lumen: 90 Lm/W)
• 4000K
• CRI> 80
• 3 Pole terminal block for 3x2.5 mm cable - Through wiring
• IP 42

JAHAN NOOR Brand – Made in IRAN
PASARGAD Type
Ref. PSG-40W-A",29 (10%),JAHAN NOOR,PASARGAD,PSG-40W-A,230V AC. 50 Hz,40 W,IP 42,Flush mounted – 600x600 mm,powder coated Aluminum,PMMA,3800 Lm (90 Lm/W),4000K,> 80,IRAN,,,,,,,,,,,,,,,,,,,
4,3,"16 W LED Emergency lighting fixture with EXIT Label.
• 230 V. 50 Hz.
• IP 42
• Wall Mounted
• Enclosure made of Plastic
• Diffuser made of Polycarbonate
• 16 Watt SMD Module
• Emergency Module for 90 min Non maintain.
• 3 pole terminal block suitable for 3x2.5 mm2 cable

JAHAN NOOR brand - Made in Iran
Mahtab Type
MHT-16W LED/NM/W/E1",11 (10%),JAHAN NOOR,Mahtab,MHT-16W LED/NM/W/E1,230 V. 50 Hz.,16 Watt,IP 42,Wall Mounted,Plastic,Polycarbonate,,,,Iran,90 min Non maintain,EXIT Label,,,,,,,,,,,,,,,,,
4,4,"Weather Proof lighting fixture
• Indoor type
• 230 V. 50 Hz
• Surface mounted
• IP 55
• Enclosure made of Extruded Aluminium
• Diffuser made of Acrylics sheet
• End caps made of plastic
• 2xM20 Gland terminal suitable for 3x2.5 mm2 cable - Through wiring
• LED driver
• LED module - 24W LED SMD

JAHAN NOOR brand
DALAHOO Type
Ref. DLH-24-LED-S",13 (10%),JAHAN NOOR,DALAHOO,DLH-24-LED-S,230 V. 50 Hz,24W,IP 55,Surface mounted,Extruded Aluminium,Acrylics sheet,,,,,,,Indoor type,,,,,,,,,,,,,,,,
4,5,"10 Watt LED Down light
• 230 V Ac. 50 Hz
• Flush mounted
• Body made of aluminium
• 10 Watt LED module
• IP 42 - Exposed face
• 6000K - 900Lm

JAHAN NOOR Brand
SUN Type
Ref. SUN-10-LED-R",1 (10%),JAHAN NOOR,SUN,SUN-10-LED-R,230 V Ac. 50 Hz,10 Watt,IP 42 - Exposed face,Flush mounted,,,900Lm,6000K,,,,,,aluminium,,,,,,,,,,,,,,,
5,6,"10 Watt LED Down light
• 230 V Ac. 50 Hz
• Flush mounted
• Body made of aluminium
• 10 Watt LED module
• IP 55 - Exposed face
• 6000K - 900Lm

JAHAN NOOR Brand
SUN Type
Ref. SUN-10-LED-R",5 (10%),JAHAN NOOR,SUN,SUN-10-LED-R,230 V Ac. 50 Hz,10 Watt,IP 55 - Exposed face,Flush mounted,,,900Lm,6000K,,,,,,aluminium,,,,,,,,,,,,,,,
5,7,"1x20 Watt lighting fixture
• 230 V AC. 50 Hz
• Surface mounted
• Housing made of Die-cast aluminium
• Globe made of Prismatic glass
• E27 lamp holder
• 20 Watt LED Lamp
• 2xM20 Cable entry with one polyamide cable gland and one stopping plug
• IP 55

JAHAN NOOR Brand
Tunnel type
Ref. TUN-1x20-LED-S",48 (10%),JAHAN NOOR,Tunnel,TUN-1x20-LED-S,230 V AC. 50 Hz,20 Watt,IP 55,Surface mounted,,,,,,,,,,,Die-cast aluminium,Prismatic glass,E27,2xM20,,,,,,,,,,,
5,8,"1x12 Watt lighting fixture
• 230 V AC. 50 Hz
• Surface mounted
• Housing made of Die-cast aluminium
• Globe made of Prismatic glass
• E27 lamp holder
• 12 Watt LED Lamp
• 2xM20 Cable entry with one polyamide cable gland and one stopping plug
• IP 55

JAHAN NOOR Brand
Tunnel type
Ref. TUN-1x12-LED-S",1 (10%),JAHAN NOOR,Tunnel,TUN-1x12-LED-S,230 V AC. 50 Hz,12 Watt,IP 55,Surface mounted,,,,,,,,,,,Die-cast aluminium,Prismatic glass,E27,2xM20,,,,,,,,,,,
6,9,"1x9 Watt lighting fixture
• 230 V AC. 50 Hz
• Surface mounted
• Housing made of Die-cast aluminium
• Globe made of Prismatic glass
• E27 lamp holder
• 9 Watt LED Lamp
• 2xM20 Cable entry with one polyamide cable gland and one stopping plug
• IP 55

JAHAN NOOR Brand
Tunnel type
Ref. TUN-1x9-LED-S",1 (10%),JAHAN NOOR,Tunnel,TUN-1x9-LED-S,230 V AC. 50 Hz,9 Watt,IP 55,Surface mounted,,,,,,,,,,,Die-cast aluminium,Prismatic glass,E27,2xM20,,,,,,,,,,,
6,10,"1x250 Watt High-bay
• 230V , 50 Hz
• Weatherproof type
• IP of electric compartment IP65
• Pendant mounted
• Housing made of Die-Cast aluminium
• Symmetrical reflector made of aluminium
• Tempered Glass
• E40 Porcelain lamp holder
• Magnetic ballast
• High power factor corrective capacitor
• Ignitor
• 3 pole terminal block suitable for 3x2.5 mm2 cable
• 250 Watt Metal Halide lamp
• 1xM20 Cable entry
• M20 Polyamide cable gland for non-armoured cable

JAHAN NOOR Brand
DENA Type
Ref. : DN1-1x250-HQI-P",2 (10%),JAHAN NOOR,DENA,DN1-1x250-HQI-P,"230V , 50 Hz",250 Watt,IP65 (electric compartment),Pendant mounted,,,,,,,,,Weatherproof type,,Die-Cast aluminium,,E40 Porcelain,1xM20,aluminium (Symmetrical),Tempered Glass,Metal Halide,Magnetic,,,,,,,
