Item No.,Client Item No.,Product Name,Type of Product,Stock Qnty,Class,End Connection,Material,Trim Material,Spare Parts,DWG Status,Qty (PCS)
1,145,Gate Valve,dn(Flexible Wedge)-PN25,3,150,Flanged RF,A216 WCB,Trim No.13% Cr Seats: 316,1-gland packing and bonnet gasket 10%,Approved with comment,4
2,146,Gate Valve,dn(Flexible Wedge)-PN25,3,150,Flanged RF,A216 WCB,Trim No.13% Cr Seats: 316,1-gland packing and bonnet gasket 10%,Approved with comment,62
3,161,Gate Valve,dn(Flexible Wedge)-PN25,3,150,Flanged FF,B-148 UNS C95800,BRONZE,1-gland packing and bonnet gasket 10%,Approved with comment,4
4,162,Gate Valve,dn(Flexible Wedge)-PN25,3,150,Flanged FF,B-148 UNS C95800,BRONZE,1-gland packing and bonnet gasket 10%,Approved with comment,8
5,148,Gate Valve,dn(Flexible Wedge)-PN25,3,150,Flanged RF,A216 WCB,Trim No.13% Cr Seats: 316,1-gland packing and bonnet gasket 10%,Deleted,0
6,158,Gate Valve,dn(Flexible Wedge)-PN25,3,600,Flanged RF,A216 WCB,Trim No.5-5-7 Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Approved with comment,8
7,163,Gate Valve,dn(Flexible Wedge)-PN25,6,150,Flanged RF,A216 WCB,Trim No.13% Cr Seats: 316,1-gland packing and bonnet gasket 10%,Approved with comment,6
8,165,Gate Valve,dn(Flexible Wedge)-PN25,6,600,Flanged RF,A216 WCB,Trim No.5-5-7 Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Approved with comment,6
9,167,Gate Valve,dn(Flexible Wedge)-PN25,6,600,Flanged RF,A216 WCB,Trim No.5-5-7 Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Approved with comment,6
10,176,Globe Valve,dn-Overall Plug Plug Disc-PN25,2,600,Flanged RTJ,A216 WCB,Trim No.5-5-7 Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Deleted,0
11,179,Globe Valve,Swivel Journal Plug Disc Type conventional,2,2500,Flanged RTJ,A351 CF8M,Trim No.S-5-316,1-gland packing and bonnet gasket 10%,HOLD,29
12,185,Globe Valve,dn-Overall Plug Plug Disc-PN25,3,600,Flanged RTJ,A216 WCB,Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Approved with comment,16
13,184,Globe Valve,dn-Overall Plug Plug Disc-PN25,3,600,Flanged RTJ,A216 WCB,Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Approved with comment,9
14,188,Globe Valve,dn-Overall Plug Plug Disc-PN25,3,600,Flanged RTJ,A216 WCB,Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Approved with comment,40
15,187,Globe Valve,dn-Overall Plug Plug Disc-PN25,3,600,Flanged FF,A216 WCB,Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Approved with comment,7
16,190,Globe Valve,dn-Overall Plug IF the Disc-PN25,3,600,Flanged RTJ,A216 WCB,Seal&Disc:Wedge-316L,1-gland packing and bonnet gasket 10%,Approved with comment,6
17,193,Trunnion Ball Valve,Side Entry-2 PCS,2X3,300,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gaskets 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,21
18,195,Trunnion Ball Valve,Side Entry-2 PCS,2X3,300,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gaskets 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,21
19,194,Trunnion Ball Valve,Side Entry-2 PCS,2X3,300,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gaskets 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,185
20,196,Trunnion Ball Valve,Side Entry-2 PCS,2X3,600,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gaskets 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",HOLD,29
21,197,Trunnion Ball Valve,Side Entry-2 PCS,2.5X3.5,API 10000,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gaskets 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,93
22,77,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A182 F316,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,4
23,77,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A182 F316,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,4
24,78,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A182 F316,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,61
